5.492699891328811646e-02,6.687299907207489014e-02,-2.675300091505050659e-02
4.616999998688697815e-02,7.685399800539016724e-02,-1.977699995040893555e-02
5.952399969100952148e-02,7.093100249767303467e-02,-5.510000046342611313e-03
7.059700042009353638e-02,5.855299904942512512e-02,-7.863000035285949707e-03
7.394699752330780029e-02,6.071199849247932434e-02,9.235000237822532654e-03
7.760100066661834717e-02,5.301300063729286194e-02,-2.090000052703544497e-04
6.678699702024459839e-02,6.629499793052673340e-02,1.763000036589801311e-03
7.018399983644485474e-02,6.905099749565124512e-02,1.877699978649616241e-02
7.394699752330780029e-02,6.071199849247932434e-02,9.235000237822532654e-03
7.059700042009353638e-02,5.855299904942512512e-02,-7.863000035285949707e-03
7.394699752330780029e-02,6.071199849247932434e-02,9.235000237822532654e-03
7.760100066661834717e-02,5.301300063729286194e-02,-2.090000052703544497e-04
6.678699702024459839e-02,6.629499793052673340e-02,1.763000036589801311e-03
5.897400155663490295e-02,7.627200335264205933e-02,6.113999988883733749e-03
5.113000050187110901e-02,8.036799728870391846e-02,-1.943000010214745998e-03
5.952399969100952148e-02,7.093100249767303467e-02,-5.510000046342611313e-03
7.059700042009353638e-02,5.855299904942512512e-02,-7.863000035285949707e-03
7.760100066661834717e-02,5.301300063729286194e-02,-2.090000052703544497e-04
6.678699702024459839e-02,6.629499793052673340e-02,1.763000036589801311e-03
5.952399969100952148e-02,7.093100249767303467e-02,-5.510000046342611313e-03
5.897400155663490295e-02,7.627200335264205933e-02,6.113999988883733749e-03
